name,price_amount,funding_total_usd,funding_round_code,raised_amount_usd
WAY Systems,9000000,22000000,c,22000000
Polar Rose,29000000,5100000,a,5100000
Ohloh,3000000,NULL,seed,NULL
Casabi,1950000,12800000,b,10000000
Casabi,1950000,12800000,a,2800000
Enfora,70000000,19000000,unattributed,19000000
TripAdvisor,210000000,NULL,a,NULL
Milo,75000000,4950000,seed,950000
Milo,75000000,4950000,a,4000000
amiando,13700000,NULL,seed,NULL
amiando,13700000,NULL,a,NULL
Footnote,28000000,10000000,a,8000000
Footnote,28000000,10000000,a,2000000
FoneStarz Media,4000000,6975497,unattributed,6975497
about.me,35000000,5675000,unattributed,5675000
Aprimo,525000000,14500000,unattributed,14500000
Qik,150000000,14800000,b,3000000
Qik,150000000,14800000,unattributed,NULL
Qik,150000000,14800000,c,5500000
Qik,150000000,14800000,unattributed,6300000
Dimdim,31000000,8400000,a,2400000
Dimdim,31000000,8400000,b,6000000
E-Box - Blogo.it,6000000,3474608,a,945648
E-Box - Blogo.it,6000000,3474608,b,2528960
LOVEFiLM,2500000,NULL,seed,NULL
LOVEFiLM,2500000,NULL,a,NULL
fflick,10000000,NULL,angel,NULL
Plixi,10000000,2600000,a,2600000
Adenyo,100000000,26900000,unattributed,26900000
OkCupid,50000000,6000000,a,6000000
Snaptu,60000000,6000000,b,6000000
Drugstore.com,409000000,63000000,unattributed,63000000
Salesforce Radian6,326000000,9000000,a,4000000
Salesforce Radian6,326000000,9000000,b,5000000
Wibiya,45000000,2000000,a,2000000
Jingle Networks,62500000,88651133,c,30000000
Jingle Networks,62500000,88651133,a,5000000
Jingle Networks,62500000,88651133,b,26000000
Jingle Networks,62500000,88651133,angel,400000
Jingle Networks,62500000,88651133,c,13000000
Jingle Networks,62500000,88651133,d,7500000
Jingle Networks,62500000,88651133,unattributed,6751133
SiBEAM,25500000,113750000,seed,1250000
SiBEAM,25500000,113750000,a,15000000
SiBEAM,25500000,113750000,b,21000000
SiBEAM,25500000,113750000,c,40000000
SiBEAM,25500000,113750000,unattributed,NULL
SiBEAM,25500000,113750000,d,36500000
Kosmix,300000000,55000000,c,10000000
Kosmix,300000000,55000000,a,7000000
Kosmix,300000000,55000000,b,18000000
Kosmix,300000000,55000000,d,20000000
Where,135000000,19100000,c,11000000
Where,135000000,19100000,b,4500000
Where,135000000,19100000,debt_round,3000000
Where,135000000,19100000,a,600000
Infinity Box,35000000,118000,seed,18000
Infinity Box,35000000,118000,angel,100000
Krillion,3500000,9150000,a,9150000
AcceloWeb,20000000,NULL,a,NULL
Icera,367000000,212000000,c,40000000
Icera,367000000,212000000,unattributed,60000000
Icera,367000000,212000000,debt_round,10000000
Icera,367000000,212000000,d,40000000
Icera,367000000,212000000,unattributed,45000000
Icera,367000000,212000000,debt_round,12000000
Icera,367000000,212000000,debt_round,5000000
modu,4900000,85000000,a,20000000
modu,4900000,85000000,b,58000000
modu,4900000,85000000,unattributed,7000000
MerchantCircle,60000000,14300000,b,10000000
MerchantCircle,60000000,14300000,a,4300000
Phanfare,2000000,5000000,c,2500000
Phanfare,2000000,5000000,angel,500000
Phanfare,2000000,5000000,b,2000000
Zong,240000000,27500000,a,15000000
Zong,240000000,27500000,b,7500000
Zong,240000000,27500000,a,5000000
Screamin Daily Deals,32500000,450000,a,450000
Zappedy,10300000,NULL,seed,NULL
JagTag,5500000,3628372,unattributed,3628372
Zokem,24000000,2388400,unattributed,2388400
Bebo,10000000,15000000,a,15000000
Dashwire,18500000,5056559,a,2859459
Dashwire,18500000,5056559,a,1197100
Dashwire,18500000,5056559,unattributed,1000000
StumbleUpon,29000000,18500000,seed,1500000
StumbleUpon,29000000,18500000,a,NULL
StumbleUpon,29000000,18500000,b,17000000
StumbleUpon,29000000,18500000,angel,NULL
OPENLANE,210000000,10000000,unattributed,10000000
MyNewPlace,74400000,20000000,a,8000000
MyNewPlace,74400000,20000000,b,12000000
Litepoint,580000000,NULL,unattributed,NULL
Air2Web,19000000,25000000,unattributed,25000000
Hunch,80000000,19200000,a,2000000
Hunch,80000000,19200000,b,12000000
Hunch,80000000,19200000,a,5200000
Miyowa,59000000,11725600,b,7870000
Miyowa,59000000,11725600,a,3855600
Worklight,70000000,17600000,a,5100000
Worklight,70000000,17600000,b,12000000
Worklight,70000000,17600000,unattributed,500000
Bitboys Oy,44000000,4788800,unattributed,4788800
Posterous,10000000,10140000,seed,15000
Posterous,10000000,10140000,angel,725000
Posterous,10000000,10140000,a,4400000
Posterous,10000000,10140000,b,5000000
Loopt,43000000,32006000,a,5000000
Loopt,43000000,32006000,b,12000000
Loopt,43000000,32006000,seed,6000
Loopt,43000000,32006000,c,15000000
Mobile Theory,50000000,NULL,seed,NULL
ZipList,14000000,4500000,b,2000000
ZipList,14000000,4500000,a,2500000
SlideShare,119000000,3000000,seed,300000
SlideShare,119000000,3000000,a,2700000
Ember,72000000,118000000,unattributed,81000000
Ember,72000000,118000000,debt_round,5000000
Ember,72000000,118000000,unattributed,12000000
Ember,72000000,118000000,b,20000000
Hughes Telematics,612000000,67255150,unattributed,15391500
Hughes Telematics,612000000,67255150,private_equity,46863648
Hughes Telematics,612000000,67255150,unattributed,5000002
Instinctiv,10000000,1420698,seed,750000
Instinctiv,10000000,1420698,unattributed,400002
Instinctiv,10000000,1420698,debt_round,270696
Meebo,100000000,70000000,a,3500000
Meebo,100000000,70000000,b,9000000
Meebo,100000000,70000000,c,25000000
Meebo,100000000,70000000,seed,5000000
Meebo,100000000,70000000,d,27500000
SinglePlatform,100000000,4575000,seed,1200000
SinglePlatform,100000000,4575000,a,3250000
SinglePlatform,100000000,4575000,debt_round,125000
CrowdCompass,10000000,1300000,a,1300000
Webs,117500000,12000000,a,12000000
Socialcam,60000000,NULL,angel,NULL
RentMineOnline,9500000,68525,seed,68525
RentMineOnline,9500000,68525,seed,NULL
Venmo,26200000,1200000,seed,1200000
Venmo,26200000,1200000,a,NULL
Vine,30000000,NULL,seed,NULL
Qype,50000000,23084124,seed,NULL
Qype,50000000,23084124,angel,NULL
Qype,50000000,23084124,a,14311724
Qype,50000000,23084124,b,8772400
NextG Networks,1000000000,409900000,unattributed,49800000
NextG Networks,1000000000,409900000,unattributed,360100000
IPWireless,150000000,31580000,a,15500000
IPWireless,150000000,31580000,unattributed,10000000
IPWireless,150000000,31580000,unattributed,6080000
Intucell,475000000,8500000,unattributed,2500000
Intucell,475000000,8500000,unattributed,6000000
Crashlytics,100000000,6000000,seed,1000000
Crashlytics,100000000,6000000,a,5000000
mFoundry,120000000,40300000,c,15000000
mFoundry,120000000,40300000,b,7300000
mFoundry,120000000,40300000,unattributed,18000000
Fondu,575000,575000,seed,575000
Channel Intelligence,125000000,3008970,seed,3008970
M.dot,2500000,700000,seed,100000
M.dot,2500000,700000,seed,600000
Arieso,85000000,9513176,unattributed,2210000
Arieso,85000000,9513176,unattributed,5906307
Arieso,85000000,9513176,unattributed,1396870
AeroScout,238800000,28000000,d,12000000
AeroScout,238800000,28000000,e,16000000
Summly,30000000,1530000,seed,300000
Summly,30000000,1530000,unattributed,1230000
Goodreads,150000000,2750000,angel,750000
Goodreads,150000000,2750000,a,2000000
Ubiquisys,310000000,81000000,unattributed,11000000
Ubiquisys,310000000,81000000,b,25000000
Ubiquisys,310000000,81000000,a,12000000
Ubiquisys,310000000,81000000,unattributed,9000000
Ubiquisys,310000000,81000000,unattributed,5000000
Ubiquisys,310000000,81000000,unattributed,19000000
FuGen Solutions,7500000,924752,debt_round,924752
Tumblr,1100000000,125250000,a,750000
Tumblr,1100000000,125250000,b,4500000
Tumblr,1100000000,125250000,c,5000000
Tumblr,1100000000,125250000,d,30000000
Tumblr,1100000000,125250000,unattributed,85000000
Tumblr,1100000000,125250000,secondary_market,NULL
Clipboard,12000000,NULL,seed,NULL
LiveWire Mobile,17800000,4420000,debt_round,1470000
LiveWire Mobile,17800000,4420000,debt_round,800000
LiveWire Mobile,17800000,4420000,debt_round,500000
LiveWire Mobile,17800000,4420000,debt_round,1650000
Musiwave,121000000,NULL,b,NULL
Poynt,2500000,6261912,unattributed,5711912
Poynt,2500000,6261912,partial,550000
Opta Sportsdata,40000000,2950000,unattributed,2950000
BrightNest,6300000,950000,seed,950000
Viki,200000000,24300000,a,4300000
Viki,200000000,24300000,b,20000000
Firethorn,210000000,25131611,unattributed,14801611
Firethorn,210000000,25131611,b,50000
Firethorn,210000000,25131611,unattributed,10280000
MoPub,350000000,18500000,seed,NULL
MoPub,350000000,18500000,seed,NULL
MoPub,350000000,18500000,a,6500000
MoPub,350000000,18500000,b,12000000
fring Ltd,50000000,30000000,b,7000000
fring Ltd,50000000,30000000,a,3000000
fring Ltd,50000000,30000000,b,10000000
fring Ltd,50000000,30000000,c,10000000
Sensory Networks,20000000,17400000,unattributed,2500000
Sensory Networks,20000000,17400000,unattributed,4900000
Sensory Networks,20000000,17400000,c,10000000
Notify Technology,5000000,248502,unattributed,248502
Cue,50000000,4715000,seed,700000
Cue,50000000,4715000,a,4000000
Cue,50000000,4715000,seed,15000
Advanced Mobile Solutions,2500000,NULL,angel,NULL
Com2uS Corp.,65000000,8000000,a,8000000
Onavo,150000000,13000000,a,3000000
Onavo,150000000,13000000,b,10000000
Avaak,31000000,17000000,a,7000000
Avaak,31000000,17000000,b,10000000
Curbed Network,30000000,1500000,angel,1500000
Lemon,42600000,8000000,a,8000000
